symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
SOL-USDT,LONG,S1,شیر طلایی (Golden Lion),95.04000000,94.67496000,95.47804800,2026-08-24 00:25:23,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.765 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=94.51, EMA50=93.40;✅ rawand EMA 4h: EMA21=91.69, EMA50=86.38, EMA200=79.23;✅ RSI 30m: RSI=54.50;❌ MACD 30m: MACD_hist=-0.0528;❌ vorud-e hoshmand poolback: ghimat=95.0400 EMA=94.8978 RSI=54.5 BS15=0.765;❌ ADX: ADX=17.65 [>22], DI+=440.68, DI-=308.47;✅ CCI obruz az 0: CCI=19.84;✅ SAR: SAR=94.7748, gimat=95.0400;✅ Stochastic cross: K=65.99 D=22.00;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0051 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0051, ADX=17.65, mode=AND -> OK"
SOL-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),95.04000000,94.67496000,95.47804800,2026-08-24 00:25:24,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.765 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=94.51, EMA50=93.40;✅ rawand EMA 4h: EMA21=91.69, EMA50=86.38, EMA200=79.23;✅ RSI 30m: RSI=54.50;❌ MACD 30m: MACD_hist=-0.0528;❌ vorud-e hoshmand poolback: ghimat=95.0400 EMA=94.8978 RSI=54.5 BS15=0.765;❌ ADX: ADX=17.65 [>22], DI+=440.68, DI-=308.47;✅ CCI obruz az 0: CCI=19.84;✅ SAR: SAR=94.7748, gimat=95.0400;✅ Stochastic cross: K=65.99 D=22.00;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0051 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0051, ADX=17.65, mode=AND -> OK"
SOL-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),95.04000000,94.67496000,95.47804800,2026-08-24 00:25:24,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.765 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=94.51, EMA50=93.40;✅ rawand EMA 4h: EMA21=91.69, EMA50=86.38, EMA200=79.23;✅ RSI 30m: RSI=54.50;❌ MACD 30m: MACD_hist=-0.0528;❌ vorud-e hoshmand poolback: ghimat=95.0400 EMA=94.8978 RSI=54.5 BS15=0.765;❌ ADX: ADX=17.65 [>22], DI+=440.68, DI-=308.47;✅ CCI obruz az 0: CCI=19.84;✅ SAR: SAR=94.7748, gimat=95.0400;✅ Stochastic cross: K=65.99 D=22.00;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0051 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0051, ADX=17.65, mode=AND -> OK"
XRP-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),1.49944000,1.48585056,1.51574733,2026-08-24 00:25:25,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.694 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.250 [>= 0.6];✅ rawand EMA 1h: EMA21=1.49, EMA50=1.46;✅ rawand EMA 4h: EMA21=1.41, EMA50=1.26, EMA200=1.13;✅ RSI 30m: RSI=51.39;❌ MACD 30m: MACD_hist=-0.0018;❌ vorud-e hoshmand poolback: ghimat=1.4994 EMA=1.4991 RSI=51.4 BS15=0.694;❌ ADX: ADX=4.63 [>22], DI+=320.76, DI-=351.90;❌ CCI obruz az 0: CCI=-26.18;✅ SAR: SAR=1.4912, gimat=1.4994;✅ Stochastic cross: K=44.87 D=14.96;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0061 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0061, ADX=4.63, mode=AND -> OK"
XRP-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),1.49944000,1.48585056,1.51574733,2026-08-24 00:25:25,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.694 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.250 [>= 0.6];✅ rawand EMA 1h: EMA21=1.49, EMA50=1.46;✅ rawand EMA 4h: EMA21=1.41, EMA50=1.26, EMA200=1.13;✅ RSI 30m: RSI=51.39;❌ MACD 30m: MACD_hist=-0.0018;❌ vorud-e hoshmand poolback: ghimat=1.4994 EMA=1.4991 RSI=51.4 BS15=0.694;❌ ADX: ADX=4.63 [>22], DI+=320.76, DI-=351.90;❌ CCI obruz az 0: CCI=-26.18;✅ SAR: SAR=1.4912, gimat=1.4994;✅ Stochastic cross: K=44.87 D=14.96;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0061 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0061, ADX=4.63, mode=AND -> OK"
DOGE-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),0.09277000,0.09184723,0.09387732,2026-08-24 00:25:26,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.462 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.500 [>= 0.6];✅ rawand EMA 1h: EMA21=0.09, EMA50=0.09;✅ rawand EMA 4h: EMA21=0.09, EMA50=0.08, EMA200=0.07;✅ RSI 30m: RSI=53.75;❌ MACD 30m: MACD_hist=-0.0000;❌ vorud-e hoshmand poolback: ghimat=0.0928 EMA=0.0925 RSI=53.7 BS15=0.462;❌ ADX: ADX=9.28 [>22], DI+=409.94, DI-=340.33;✅ CCI obruz az 0: CCI=14.45;✅ SAR: SAR=0.0921, gimat=0.0928;✅ Stochastic cross: K=51.82 D=17.27;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0051 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0051, ADX=9.28, mode=AND -> OK"
DOGE-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),0.09277000,0.09184723,0.09387732,2026-08-24 00:25:30,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.462 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.500 [>= 0.6];✅ rawand EMA 1h: EMA21=0.09, EMA50=0.09;✅ rawand EMA 4h: EMA21=0.09, EMA50=0.08, EMA200=0.07;✅ RSI 30m: RSI=53.75;❌ MACD 30m: MACD_hist=-0.0000;❌ vorud-e hoshmand poolback: ghimat=0.0928 EMA=0.0925 RSI=53.7 BS15=0.462;❌ ADX: ADX=9.28 [>22], DI+=409.94, DI-=340.33;✅ CCI obruz az 0: CCI=14.45;✅ SAR: SAR=0.0921, gimat=0.0928;✅ Stochastic cross: K=51.82 D=17.27;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0051 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0051, ADX=9.28, mode=AND -> OK"
SUI-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),0.83460000,0.81536540,0.85768152,2026-08-24 00:25:30,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.756 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.429 [>= 0.6];✅ rawand EMA 1h: EMA21=0.82, EMA50=0.81;✅ rawand EMA 4h: EMA21=0.80, EMA50=0.75, EMA200=0.72;✅ RSI 30m: RSI=58.08;❌ MACD 30m: MACD_hist=0.0010;❌ vorud-e hoshmand poolback: ghimat=0.8346 EMA=0.8254 RSI=58.1 BS15=0.756;❌ ADX: ADX=0.00 [>22], DI+=387.16, DI-=387.16;✅ CCI obruz az 0: CCI=98.00;✅ SAR: SAR=0.8282, gimat=0.8346;❌ Stochastic cross: K=75.10 D=25.03;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;❌ Double Top/Bottom: bedun ologhu;✅ filter-e ranj: faseleh EMA=0.0061 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0061, ADX=0.00, mode=AND -> OK"
SUI-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),0.83460000,0.81536540,0.85768152,2026-08-24 00:25:31,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.756 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.429 [>= 0.6];✅ rawand EMA 1h: EMA21=0.82, EMA50=0.81;✅ rawand EMA 4h: EMA21=0.80, EMA50=0.75, EMA200=0.72;✅ RSI 30m: RSI=58.08;❌ MACD 30m: MACD_hist=0.0010;❌ vorud-e hoshmand poolback: ghimat=0.8346 EMA=0.8254 RSI=58.1 BS15=0.756;❌ ADX: ADX=0.00 [>22], DI+=387.16, DI-=387.16;✅ CCI obruz az 0: CCI=98.00;✅ SAR: SAR=0.8282, gimat=0.8346;❌ Stochastic cross: K=75.10 D=25.03;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;❌ Double Top/Bottom: bedun ologhu;✅ filter-e ranj: faseleh EMA=0.0061 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0061, ADX=0.00, mode=AND -> OK"
AVAX-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),7.56600000,7.50843400,7.63507920,2026-08-24 00:25:31,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.231 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.000 [>= 0.6];✅ rawand EMA 1h: EMA21=7.52, EMA50=7.49;✅ rawand EMA 4h: EMA21=7.39, EMA50=7.06, EMA200=6.69;✅ RSI 30m: RSI=55.84;❌ MACD 30m: MACD_hist=-0.0032;❌ vorud-e hoshmand poolback: ghimat=7.5660 EMA=7.5428 RSI=55.8 BS15=0.231;✅ ADX: ADX=40.00 [>22], DI+=492.46, DI-=211.06;✅ CCI obruz az 0: CCI=27.74;✅ SAR: SAR=7.5172, gimat=7.5660;✅ Stochastic cross: K=58.67 D=19.56;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0025 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0025, ADX=40.00, mode=AND -> OK"
