symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
BNB-USDT,LONG,S1,شیر طلایی (Golden Lion),720.82100000,715.86617900,726.76678520,2026-09-05 05:46:19,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.643 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.643 [>= 0.6];✅ rawand EMA 1h: EMA21=718.92, EMA50=713.89;✅ rawand EMA 4h: EMA21=709.90, EMA50=700.25, EMA200=651.92;✅ RSI 30m: RSI=53.64;✅ MACD 30m: MACD_hist=0.2930;❌ vorud-e hoshmand poolback: ghimat=720.8210 EMA=719.6751 RSI=53.6 BS15=0.643;❌ ADX: ADX=29.21 [>22], DI+=204.30, DI-=372.90;✅ CCI obruz az 0: CCI=76.66;✅ SAR: SAR=720.5387, gimat=720.8210;✅ Stochastic cross: K=60.55 D=20.18;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0015 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0015, ADX=29.21, mode=AND -> OK"
BNB-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),720.82100000,715.86617900,726.76678520,2026-09-05 05:46:19,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.643 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.643 [>= 0.6];✅ rawand EMA 1h: EMA21=718.92, EMA50=713.89;✅ rawand EMA 4h: EMA21=709.90, EMA50=700.25, EMA200=651.92;✅ RSI 30m: RSI=53.64;✅ MACD 30m: MACD_hist=0.2930;❌ vorud-e hoshmand poolback: ghimat=720.8210 EMA=719.6751 RSI=53.6 BS15=0.643;❌ ADX: ADX=29.21 [>22], DI+=204.30, DI-=372.90;✅ CCI obruz az 0: CCI=76.66;✅ SAR: SAR=720.5387, gimat=720.8210;✅ Stochastic cross: K=60.55 D=20.18;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0015 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0015, ADX=29.21, mode=AND -> OK"
BNB-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),720.82100000,715.86617900,726.76678520,2026-09-05 05:46:20,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.643 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.643 [>= 0.6];✅ rawand EMA 1h: EMA21=718.92, EMA50=713.89;✅ rawand EMA 4h: EMA21=709.90, EMA50=700.25, EMA200=651.92;✅ RSI 30m: RSI=53.64;✅ MACD 30m: MACD_hist=0.2930;❌ vorud-e hoshmand poolback: ghimat=720.8210 EMA=719.6751 RSI=53.6 BS15=0.643;❌ ADX: ADX=29.21 [>22], DI+=204.30, DI-=372.90;✅ CCI obruz az 0: CCI=76.66;✅ SAR: SAR=720.5387, gimat=720.8210;✅ Stochastic cross: K=60.55 D=20.18;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0015 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0015, ADX=29.21, mode=AND -> OK"
SOL-USDT,SHORT,S2,تیر نقره‌ای (Silver Arrow),101.82000000,102.46546000,101.04544800,2026-09-05 05:46:20,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.800 [>= 0.6];✅ ghoodat-e kandel 5m: BS5=0.800 [>= 0.6];✅ rawand EMA 1h: EMA21=102.17, EMA50=102.24;❌ rawand EMA 4h: EMA21=102.26, EMA50=101.45, EMA200=89.92;✅ RSI 30m: RSI=45.82;❌ MACD 30m: MACD_hist=0.0909;❌ vorud-e hoshmand poolback: ghimat=101.8200 EMA=101.9174 RSI=45.8 BS15=0.800;✅ ADX: ADX=23.64 [>22], DI+=231.50, DI-=374.80;❌ CCI obruz az 0: CCI=41.00;✅ SAR: SAR=101.8580, gimat=101.8200;❌ Stochastic cross: K=50.72 D=16.91;✅ rad EMA: rad EMA tashkhis dadeh shod;❌ test-e moqavemat: bedun test;❌ poolback: bedun poolback;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0036 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0036, ADX=23.64, mode=AND -> OK"
SOL-USDT,SHORT,B1,موج تند (Fast Wave),101.82000000,102.46546000,101.17454000,2026-09-05 05:46:21,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.800 [>= 0.48];✅ ghoodat-e kandel 5m: BS5=0.800 [>= 0.48];✅ rawand EMA 1h: EMA21=102.17, EMA50=102.24;❌ rawand EMA 4h: EMA21=102.26, EMA50=101.45, EMA200=89.92;✅ RSI 30m: RSI=45.82;❌ MACD 30m: MACD_hist=0.0909;❌ vorud-e hoshmand poolback: ghimat=101.8200 EMA=101.9174 RSI=45.8 BS15=0.800;✅ ADX: ADX=23.64 [>22], DI+=231.50, DI-=374.80;❌ CCI obruz az 0: CCI=41.00;✅ SAR: SAR=101.8580, gimat=101.8200;❌ Stochastic cross: K=50.72 D=16.91;✅ rad EMA: rad EMA tashkhis dadeh shod;❌ test-e moqavemat: bedun test;❌ poolback: bedun poolback;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0036 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0036, ADX=23.64, mode=OR -> OK"
SOL-USDT,SHORT,B2,سپر فولادی (Steel Shield),101.82000000,102.46546000,101.17454000,2026-09-05 05:46:21,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.800 [>= 0.48];✅ ghoodat-e kandel 5m: BS5=0.800 [>= 0.48];✅ rawand EMA 1h: EMA21=102.17, EMA50=102.24;❌ rawand EMA 4h: EMA21=102.26, EMA50=101.45, EMA200=89.92;✅ RSI 30m: RSI=45.82;❌ MACD 30m: MACD_hist=0.0909;❌ vorud-e hoshmand poolback: ghimat=101.8200 EMA=101.9174 RSI=45.8 BS15=0.800;✅ ADX: ADX=23.64 [>22], DI+=231.50, DI-=374.80;❌ CCI obruz az 0: CCI=41.00;✅ SAR: SAR=101.8580, gimat=101.8200;❌ Stochastic cross: K=50.72 D=16.91;✅ rad EMA: rad EMA tashkhis dadeh shod;❌ test-e moqavemat: bedun test;❌ poolback: bedun poolback;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0036 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0036, ADX=23.64, mode=OR -> OK"
NEAR-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),2.18700000,2.08431300,2.31022440,2026-09-05 05:46:25,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.237 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.237 [>= 0.6];✅ rawand EMA 1h: EMA21=2.07, EMA50=2.00;✅ rawand EMA 4h: EMA21=1.99, EMA50=1.93, EMA200=1.81;✅ RSI 30m: RSI=62.50;✅ MACD 30m: MACD_hist=0.0062;❌ vorud-e hoshmand poolback: ghimat=2.1870 EMA=2.1282 RSI=62.5 BS15=0.237;❌ ADX: ADX=41.86 [>22], DI+=191.95, DI-=468.41;✅ CCI obruz az 0: CCI=74.77;❌ SAR: SAR=2.2102, gimat=2.1870;✅ Stochastic cross: K=53.97 D=17.99;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;❌ Double Top/Bottom: bedun ologhu;✅ filter-e ranj: faseleh EMA=0.0333 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0333, ADX=41.86, mode=AND -> OK"
NEAR-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),2.18700000,2.08431300,2.31022440,2026-09-05 05:46:25,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.237 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.237 [>= 0.6];✅ rawand EMA 1h: EMA21=2.07, EMA50=2.00;✅ rawand EMA 4h: EMA21=1.99, EMA50=1.93, EMA200=1.81;✅ RSI 30m: RSI=62.50;✅ MACD 30m: MACD_hist=0.0062;❌ vorud-e hoshmand poolback: ghimat=2.1870 EMA=2.1282 RSI=62.5 BS15=0.237;❌ ADX: ADX=41.86 [>22], DI+=191.95, DI-=468.41;✅ CCI obruz az 0: CCI=74.77;❌ SAR: SAR=2.2102, gimat=2.1870;✅ Stochastic cross: K=53.97 D=17.99;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;❌ Double Top/Bottom: bedun ologhu;✅ filter-e ranj: faseleh EMA=0.0333 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0333, ADX=41.86, mode=AND -> OK"
DOT-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),0.89840000,0.86550160,0.93787808,2026-09-05 05:46:26,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.813 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=0.813 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=0.88, EMA50=0.87;✅ rawand EMA 4h: EMA21=0.88, EMA50=0.87, EMA200=0.84;✅ RSI 30m: RSI=63.08;✅ MACD 30m: MACD_hist=0.0035;❌ vorud-e hoshmand poolback: ghimat=0.8984 EMA=0.8815 RSI=63.1 BS15=0.813;❌ ADX: ADX=60.26 [>22], DI+=93.13, DI-=375.61;❌ CCI obruz az 0: CCI=131.78 [eshba-e kharid];✅ SAR: SAR=0.8970, gimat=0.8984;❌ Stochastic cross: K=72.53 D=24.18;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;❌ Double Top/Bottom: bedun ologhu;✅ filter-e ranj: faseleh EMA=0.0056 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0056, ADX=60.26, mode=AND -> OK"
INJ-USDT,SHORT,S2,تیر نقره‌ای (Silver Arrow),4.76400000,4.83929200,4.67364960,2026-09-05 05:46:26,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=1.000 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=4.79, EMA50=4.83;❌ rawand EMA 4h: EMA21=4.87, EMA50=4.96, EMA200=4.91;✅ RSI 30m: RSI=46.31;❌ MACD 30m: MACD_hist=0.0052;❌ vorud-e hoshmand poolback: ghimat=4.7640 EMA=4.7749 RSI=46.3 BS15=1.000;✅ ADX: ADX=41.18 [>22], DI+=166.31, DI-=399.14;✅ CCI obruz az 0: CCI=2.58;✅ SAR: SAR=4.7728, gimat=4.7640;❌ Stochastic cross: K=27.38 D=9.13;✅ rad EMA: rad EMA tashkhis dadeh shod;❌ test-e moqavemat: bedun test;❌ poolback: bedun poolback;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0059 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0059, ADX=41.18, mode=AND -> OK"
